Sensor,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm)
1,898.0,315.0,853.0,352.0,943.0,277.0,0.04662,0.0727,-0.99626,-0.02409,0.04899,-0.99851,0.0,0.0,1,1,206.3,53.7,585.0,272.8,46.7,595.5,233.7,96.3,258.5,75.9,0.4626,0.2914,0.4354,0.326,0.4898,0.2568,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,899.0,315.0,855.0,347.0,943.0,284.0,0.04769,0.07029,-0.99639,-0.02419,0.05181,-0.99836,3.0,3.16,1,1,206.3,53.6,585.1,272.8,46.7,595.4,234.3,94.9,258.4,77.6,0.4633,0.2918,0.4368,0.321,0.4897,0.2626,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,906.0,330.0,866.0,363.0,946.0,297.0,0.05295,0.07778,-0.99556,-0.02258,0.05768,-0.99808,0.0,0.0,1,1,206.3,53.6,585.1,272.9,46.8,595.3,237.4,99.3,259.4,81.2,0.4677,0.3054,0.4436,0.336,0.4918,0.2748,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,902.0,336.0,858.0,375.0,946.0,297.0,0.04921,0.08342,-0.9953,-0.02248,0.05779,-0.99808,0.0,0.0,1,1,206.2,53.6,585.3,272.8,46.9,595.2,235.2,102.6,259.4,81.3,0.4652,0.3112,0.4387,0.3472,0.4918,0.2751,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,903.0,331.0,856.0,367.0,949.0,295.0,0.04838,0.07999,-0.99562,-0.02106,0.05694,-0.99816,2.88,3.16,1,1,206.2,53.5,585.5,272.8,46.9,595.1,234.7,100.5,260.2,80.9,0.4656,0.3069,0.4376,0.3401,0.4937,0.2736,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,905.0,308.0,865.0,328.0,945.0,288.0,0.05244,0.06155,-0.99673,-0.02325,0.05311,-0.99832,0.0,0.0,1,1,206.2,53.5,585.6,272.8,47.0,594.9,237.0,89.6,258.9,78.7,0.4668,0.2848,0.4427,0.3032,0.4908,0.2663,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,905.0,307.0,863.0,329.0,947.0,284.0,0.05163,0.06251,-0.99671,-0.022,0.05152,-0.99843,0.0,0.0,1,1,206.1,53.4,585.8,272.7,47.1,594.8,236.5,90.2,259.6,77.8,0.4669,0.2842,0.4415,0.305,0.4923,0.2633,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,907.0,310.0,865.0,340.0,950.0,280.0,0.05241,0.06764,-0.99633,-0.02066,0.04938,-0.99857,2.96,3.11,1,1,206.1,53.3,586.1,272.7,47.2,594.7,236.9,93.1,260.4,76.6,0.4683,0.2871,0.4426,0.315,0.494,0.2592,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,912.0,318.0,870.0,345.0,954.0,291.0,0.05477,0.07015,-0.99603,-0.01883,0.05422,-0.99835,0.0,0.0,1,1,206.1,53.2,586.3,272.7,47.3,594.4,238.3,94.5,261.5,79.6,0.471,0.2946,0.4456,0.3198,0.4965,0.2694,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,912.0,323.0,867.0,356.0,957.0,289.0,0.05345,0.07522,-0.99573,-0.01742,0.05344,-0.99842,0.0,0.0,1,1,206.0,53.2,586.5,272.6,47.4,594.3,237.5,97.5,262.3,79.2,0.471,0.2989,0.4438,0.3298,0.4981,0.268,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,904.0,339.0,869.0,370.0,939.0,308.0,0.0547,0.08191,-0.99514,-0.02554,0.06162,-0.99777,2.98,3.05,1,1,206.0,53.1,586.8,272.6,47.5,594.1,238.3,101.4,257.4,84.2,0.4665,0.3139,0.4455,0.3429,0.4875,0.2848,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,914.0,329.0,869.0,381.0,958.0,278.0,0.05468,0.08681,-0.99472,-0.0167,0.04772,-0.99872,0.0,0.0,1,1,206.0,53.0,586.9,272.6,47.6,593.9,238.3,104.2,262.7,76.0,0.4723,0.3049,0.4454,0.3526,0.4991,0.2572,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,907.0,337.0,866.0,386.0,947.0,289.0,0.05335,0.08938,-0.99457,-0.02165,0.05272,-0.99837,0.0,0.0,1,1,205.9,52.9,587.2,272.5,47.7,593.7,237.4,105.7,259.7,79.0,0.468,0.3125,0.4436,0.3576,0.4924,0.2674,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,904.0,321.0,864.0,359.0,944.0,283.0,0.05257,0.07702,-0.99564,-0.02316,0.05007,-0.99848,3.15,2.99,1,1,205.9,52.8,587.4,272.5,47.6,593.8,236.9,98.2,258.7,77.4,0.4664,0.2972,0.4425,0.3324,0.4904,0.2619,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,910.0,333.0,882.0,394.0,937.0,273.0,0.06062,0.0931,-0.99381,-0.02624,0.04547,-0.99862,0.0,0.0,1,1,205.9,52.7,587.5,272.5,47.6,593.7,241.7,107.8,256.9,74.7,0.4697,0.3087,0.453,0.3646,0.4864,0.2527,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,898.0,289.0,857.0,316.0,939.0,262.0,0.04949,0.05738,-0.99713,-0.02535,0.04047,-0.99886,0.0,0.0,1,1,205.8,52.7,587.6,272.4,47.6,593.7,234.9,86.5,257.4,71.7,0.4628,0.2676,0.4381,0.2926,0.4874,0.2425,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,901.0,301.0,864.0,331.0,938.0,271.0,0.05276,0.06431,-0.99653,-0.02575,0.04446,-0.99868,2.86,3.03,1,1,205.8,52.6,587.8,272.4,47.6,593.6,236.9,90.5,257.1,74.0,0.4646,0.2784,0.4424,0.3063,0.4868,0.2505,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,904.0,313.0,864.0,335.0,943.0,292.0,0.05271,0.06624,-0.99641,-0.0235,0.05436,-0.99824,0.0,0.0,1,1,205.7,52.5,587.8,272.4,47.7,593.5,236.8,91.6,258.4,80.0,0.466,0.2903,0.4423,0.3099,0.4897,0.2706,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,906.0,310.0,867.0,332.0,946.0,288.0,0.05406,0.06524,-0.9964,-0.02202,0.0522,-0.99839,0.0,0.0,1,1,205.7,52.5,587.9,272.3,47.7,593.3,237.5,91.0,259.2,78.7,0.4677,0.287,0.4439,0.3078,0.4915,0.2662,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,902.0,324.0,875.0,340.0,929.0,308.0,0.05804,0.06865,-0.99595,-0.0299,0.0615,-0.99766,2.92,2.95,1,1,205.7,52.4,587.9,272.3,47.7,593.2,239.9,92.9,254.5,84.2,0.4651,0.2997,0.4491,0.3144,0.4812,0.285,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,915.0,304.0,880.0,336.0,949.0,271.0,0.06037,0.06724,-0.99591,-0.02066,0.04435,-0.9988,0.0,0.0,1,1,205.7,52.4,587.9,272.3,47.7,593.1,241.3,92.1,260.0,74.1,0.4727,0.2811,0.4521,0.3115,0.4933,0.2506,1,525.0,20.0,908.0,316.0,0.4688,0.2924
1,909.0,317.0,876.0,350.0,942.0,283.0,0.0584,0.07347,-0.99559,-0.02356,0.05019,-0.99846,0.0,0.0,1,1,205.6,52.4,587.9,272.3,47.7,593.0,240.1,95.7,258.3,77.5,0.4695,0.2932,0.4495,0.324,0.4894,0.2624,1,525.0,20.0,908.0,316.0,0.4688,0.2924
